snapped_at,price,market_cap,total_volume
2019-09-18 00:00:00 UTC,0.11440315561916242,181921868.8926456,51190435.93994769
2019-09-19 00:00:00 UTC,0.07820936216578471,122042999.71579961,4343889.00895705
2019-09-20 00:00:00 UTC,0.057816042038081085,93471509.82404302,26900818.2774817
2019-09-21 00:00:00 UTC,0.052569976191852934,86997867.69222786,15858286.671405315
2019-09-22 00:00:00 UTC,0.04799052181403463,82197489.87433445,13092025.652961418
2019-09-23 00:00:00 UTC,0.03974469397600902,69517033.7414375,10537901.511443356
2019-09-24 00:00:00 UTC,0.0378187991163208,67114068.60201465,11326591.125456944
2019-09-25 00:00:00 UTC,0.029529729513760115,56377440.58075029,11941167.765984274
2019-09-26 00:00:00 UTC,0.03014218710994275,19441751.305037558,8920159.193790764
2019-09-27 00:00:00 UTC,0.028942805521468867,18701589.194600083,5182540.970721739
2019-09-28 00:00:00 UTC,0.03699490411952716,23862367.92990303,11947097.85567545
2019-09-29 00:00:00 UTC,0.03993609226733013,25542872.673248213,11221529.124161039
2019-09-30 00:00:00 UTC,0.03567410551413672,23060906.27947901,13674976.964697985
2019-10-01 00:00:00 UTC,0.03794365766157802,24493870.34086961,20867801.366431225
2019-10-02 00:00:00 UTC,0.037609178281318226,73395606.78132702,5643608.633288588
2019-10-03 00:00:00 UTC,0.037609178281318226,73395606.78132702,5643608.633288588
2019-10-04 00:00:00 UTC,0.03817185601275415,24332545.85295131,5450297.808694491
2019-10-05 00:00:00 UTC,0.0386801308377213,24531330.387781058,5624962.663130261
2019-10-06 00:00:00 UTC,0.04188266370391801,26679335.97620821,11887635.411776828
2019-10-07 00:00:00 UTC,0.038017316013573915,24198772.522648383,4223206.935569445
2019-10-08 00:00:00 UTC,0.03813629460297406,24252607.23102387,4891488.448047395
2019-10-09 00:00:00 UTC,0.03867485489148758,24619379.46072205,3913386.309080131
2019-10-10 00:00:00 UTC,0.03907831315512046,0.0,4652610.458871537
2019-10-11 00:00:00 UTC,0.03813581871953218,24274049.749892708,3249050.602357329
2019-10-12 00:00:00 UTC,0.035809490885628195,22788598.94091064,2989456.064439865
2019-10-13 00:00:00 UTC,0.03501141951995891,22285320.40945974,2189144.4469848294
2019-10-14 00:00:00 UTC,0.03307690851037947,21167879.459191088,2449780.267740424
2019-10-15 00:00:00 UTC,0.03721801655200903,23765408.661552977,5511079.714062539
2019-10-16 00:00:00 UTC,0.038085700542189016,24404838.626859576,5766685.4501610445
2019-10-17 00:00:00 UTC,0.03734615248790331,23643017.38712567,5247251.939613227
2019-10-18 00:00:00 UTC,0.03527766355358061,25038002.732321247,3691756.499943716
2019-10-19 00:00:00 UTC,0.03389264567326841,24073226.7739702,3261469.0549417054
2019-10-20 00:00:00 UTC,0.03355290121284911,23853814.15846948,2210655.2935017087
2019-10-21 00:00:00 UTC,0.03324834926092926,23515393.153852224,2199985.798265821
2019-10-22 00:00:00 UTC,0.033369049029544316,23777212.507619053,2529723.1300713276
2019-10-23 00:00:00 UTC,0.03161045447145873,22486874.52495283,3341576.973397691
2019-10-24 00:00:00 UTC,0.02803890320667784,22573277.068144828,4742153.771767817
2019-10-25 00:00:00 UTC,0.028799962005148914,23388580.242919974,3074024.874698936
2019-10-26 00:00:00 UTC,0.030693857879365082,24666552.383681357,5030346.358621036
2019-10-27 00:00:00 UTC,0.03079727738429103,24682622.588861264,4389404.814605432
2019-10-28 00:00:00 UTC,0.031680688562673434,25495879.583347116,2867553.1434227177
2019-10-29 00:00:00 UTC,0.03179065891046793,25753935.15840184,3907690.536098134
2019-10-30 00:00:00 UTC,0.03400928772224473,27524030.174453605,4667984.8727204455
2019-10-31 00:00:00 UTC,0.032807704786383694,26402875.96605991,3008995.487508796
2019-11-01 00:00:00 UTC,0.03323129398985461,26846745.04662592,2901998.012241939
2019-11-02 00:00:00 UTC,0.03485430175961846,28049929.497804016,3084632.44014781
2019-11-03 00:00:00 UTC,0.034420350081154225,27688840.564177115,1928301.2589129955
2019-11-04 00:00:00 UTC,0.03683857043893704,29595582.353731755,4272690.951160766
2019-11-05 00:00:00 UTC,0.0363929185769756,29288172.44263918,6649138.93246646
2019-11-06 00:00:00 UTC,0.03620872421103457,29139937.11105309,2576523.4268634226
2019-11-07 00:00:00 UTC,0.034185796387947165,27489639.540962763,2844160.4831793844
